Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age.years,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Credit_Application_Result
No Account,6,Paid Up,New car,1352,£100-£1000,< 1yr,1,None,2,2,23,Other Banks/Depts,1,1,1,1,2,1,0.843237188693876
Some Balance,42,No Problems (in this bank),New car,4796,None,4-7 yrs,4,None,4,4,56,Other Banks/Depts,3,1,1,1,1,1,0.842800082018685
Some Balance,24,No Problems (in this bank),Used car,5150,None,4-7 yrs,4,None,4,3,33,Other Banks/Depts,2,1,1,1,2,1,0.842684511340965
Some Balance,18,Paid Up,Home Related,2051,None,< 1yr,4,None,1,1,33,Other Banks/Depts,2,1,1,1,1,1,0.842068316029217
Some Balance,24,Paid Up,Home Related,2255,£100-£1000,< 1yr,4,None,1,2,54,Other Banks/Depts,2,1,1,1,1,1,0.841683718878456
Some Balance,12,Paid Up,Home Related,804,None,4-7 yrs,4,None,4,3,38,Other Banks/Depts,2,1,1,1,1,1,0.841571798417724
Some Balance,18,Paid Up,Home Related,433,None,< 1yr,3,Yes,4,1,22,Other Banks/Depts,1,1,1,1,1,1,0.841417547039786
Some Balance,36,No Problems (in this bank),Home Related,3342,£100-£1000,4-7 yrs,4,None,2,3,51,Other Banks/Depts,2,1,1,1,2,1,0.84080010462292
Some Balance,12,No Problems (in this bank),Home Related,1934,None,4-7 yrs,2,None,2,4,26,Other Banks/Depts,2,More than 1,1,1,1,1,0.840796285624829
Some Balance,30,No Problems (in this bank),Home Related,6742,£100-£1000,1-4 yrs,2,None,3,2,36,Other Banks/Depts,2,More than 1,1,1,1,1,0.840633222502602
Some Balance,12,Paid Up,Home Related,1881,None,< 1yr,2,None,2,3,44,Other Banks/Depts,1,1,1,1,2,1,0.840369337791084
Some Balance,15,No Problems (in this bank),Home Related,1532,< £100,< 1yr,4,None,3,3,31,Other Banks/Depts,2,1,1,1,1,1,0.839018301178805
Some Balance,15,Paid Up,Home Related,3568,None,4-7 yrs,4,None,2,3,54,Other Banks/Depts,1,1,1,1,2,1,0.837881125886848
Some Balance,24,No Problems (in this bank),Home Related,2538,None,4-7 yrs,4,None,4,3,47,Other Banks/Depts,2,More than 1,1,2,1,1,0.837765926595172
Some Balance,18,No Problems (in this bank),Home Related,1530,None,< 1yr,3,None,2,2,32,Other Banks/Depts,2,More than 1,1,1,1,1,0.83721231396465
Some Balance,18,No Problems (in this bank),Used car,1817,None,< 1yr,4,None,2,4,28,Other Banks/Depts,2,More than 1,1,1,1,1,0.837209515788173
Some Balance,15,No Problems (in this bank),Home Related,5045,£100-£1000,4-7 yrs,1,None,4,3,59,Other Banks/Depts,2,1,1,1,2,1,0.837001350446614
Some Balance,12,No Problems (in this bank),Home Related,1412,None,< 1yr,4,Yes,2,1,29,Other Banks/Depts,2,More than 1,1,1,2,1,0.836444080446555
Some Balance,9,Paid Up,Home Related,1478,None,1-4 yrs,4,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1,0.835400053673674
Some Balance,36,Paid Up,Used car,3349,None,< 1yr,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1,0.835146535821424
Some Balance,12,Paid Up,Home Related,776,None,< 1yr,4,None,2,1,28,Other Banks/Depts,2,1,1,1,1,1,0.834436745928373
Some Balance,24,No Problems (in this bank),Home Related,3863,None,< 1yr,1,None,2,4,32,Other Banks/Depts,3,1,1,1,1,1,0.833823160056025
Some Balance,15,Paid Up,Home Related,874,£100-£1000,< 1yr,4,None,1,1,24,Other Banks/Depts,2,1,1,1,1,1,0.832973532611499
Some Balance,18,Paid Up,Home Related,1950,None,1-4 yrs,4,None,1,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,0.832770172771868
No Account,6,Paid Up,Home Related,2647,£100-£1000,< 1yr,2,None,3,1,44,Other Banks/Depts,1,1,1,2,1,1,0.831893430477824
Some Balance,11,No Problems (in this bank),Home Related,7228,None,< 1yr,1,None,4,2,39,Other Banks/Depts,2,More than 1,1,1,1,1,0.831409991627187
Some Balance,12,Paid Up,Home Related,1297,None,< 1yr,3,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1,0.829904891595616
Some Balance,36,No Problems (in this bank),New car,8947,£100-£1000,1-4 yrs,3,None,2,3,31,Other Banks/Depts,2,1,1,2,2,1,0.827648213331006
Some Balance,12,Some Problems,Home Related,409,£100-£1000,< 1yr,3,None,3,1,42,Other Banks/Depts,1,More than 1,1,1,1,1,0.825863782174731
Some Balance,18,Paid Up,Home Related,1126,£100-£1000,< 1yr,4,None,2,1,21,Other Banks/Depts,1,1,1,1,2,1,0.825584657926656
Some Balance,15,Paid Up,Home Related,5324,£100-£1000,4-7 yrs,1,None,4,4,35,Other Banks/Depts,3,1,1,1,1,1,0.825345207513812
Some Balance,12,Paid Up,Home Related,1393,None,4-7 yrs,4,None,4,2,47,Other Banks/Depts,2,More than 1,1,2,2,1,0.823949149887905
Some Balance,12,Paid Up,Home Related,3016,None,< 1yr,3,None,1,3,24,Other Banks/Depts,2,1,1,1,1,1,0.82323359667965
Some Balance,12,No Problems (in this bank),Home Related,1291,None,< 1yr,4,None,2,2,35,Other Banks/Depts,2,More than 1,1,1,1,1,0.822885856854398
No Account,9,No Problems (in this bank),Home Related,1288,< £100,4-7 yrs,3,Yes,4,1,48,Other Banks/Depts,2,More than 1,1,2,1,2,0.822699682889941
Some Balance,18,No Problems (in this bank),Home Related,1169,£100-£1000,< 1yr,4,None,3,2,29,Other Banks/Depts,2,More than 1,1,1,2,1,0.822671734031113
No Account,24,Paid Up,New car,2760,£100-£1000,4-7 yrs,4,None,4,4,36,Other Banks/Depts,3,1,1,1,2,1,0.822322742015245
Some Balance,15,Paid Up,Home Related,4623,< £100,< 1yr,3,None,2,2,40,Other Banks/Depts,2,1,1,1,2,1,0.822301416362352
Some Balance,24,Paid Up,Home Related,2284,None,1-4 yrs,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1,0.82179604142471
Some Balance,18,Paid Up,Home Related,1820,None,< 1yr,2,None,2,2,30,Other Banks/Depts,2,1,1,1,2,1,0.821704267107028
No Account,6,No Problems (in this bank),Home Related,1169,£100-£1000,4-7 yrs,4,None,4,1,67,Other Banks/Depts,2,More than 1,1,1,2,1,0.819196788477162
Some Balance,18,Paid Up,Home Related,1568,< £100,< 1yr,3,None,4,2,24,Other Banks/Depts,1,1,1,1,1,1,0.81533846490906
No Account,6,No Problems (in this bank),Used car,1050,None,< 1yr,4,None,1,2,35,Other Banks/Depts,2,More than 1,1,1,2,2,0.815333409676624
Some Balance,24,No Problems (in this bank),Home Related,2032,None,4-7 yrs,4,None,4,4,60,Other Banks/Depts,3,More than 1,1,1,2,1,0.81236103542516
No Account,24,Paid Up,New car,2964,£100-£1000,4-7 yrs,4,None,4,4,49,Other Banks/Depts,3,1,1,2,2,1,0.811527619086214
Some Balance,36,No Problems (in this bank),Home Related,6304,£100-£1000,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,1,1,0.810725254584974
No Account,20,No Problems (in this bank),New car,7057,£100-£1000,1-4 yrs,3,None,4,2,36,Other Banks/Depts,1,More than 1,1,2,2,1,0.810207526083335
Some Balance,6,Some Problems,Home Related,426,None,4-7 yrs,4,None,4,3,39,Other Banks/Depts,2,1,1,1,1,1,0.809398791746605
Some Balance,30,No Problems (in this bank),Home Related,2831,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,2,1,0.808898476896229
No Account,9,Paid Up,Used car,2136,None,< 1yr,3,None,2,1,25,Other Banks/Depts,2,1,1,1,1,1,0.808839983697497
No Account,8,Paid Up,Used car,1237,None,< 1yr,3,None,4,1,24,Other Banks/Depts,2,1,1,1,1,1,0.807674201253201
Some Balance,12,Some Problems,Home Related,3447,£100-£1000,< 1yr,4,None,3,1,35,Other Banks/Depts,2,1,1,2,1,1,0.805864864087932
No Account,24,No Problems (in this bank),New car,2957,None,4-7 yrs,4,None,4,2,63,Other Banks/Depts,2,More than 1,1,1,2,1,0.805728573569946
No Account,24,Paid Up,Used car,2359,< £100,< 1yr,1,None,1,2,33,Other Banks/Depts,2,1,1,1,1,1,0.804704571634574
No Account,9,No Problems (in this bank),Home Related,2799,None,< 1yr,2,None,2,1,36,Other Banks/Depts,1,More than 1,1,2,1,1,0.80469579089142
No Account,7,Paid Up,Home Related,2415,None,< 1yr,3,Yes,2,1,34,Other Banks/Depts,2,1,1,1,1,1,0.80366369795008
No Account,12,Paid Up,Used car,1262,£100-£1000,4-7 yrs,2,None,4,2,49,Other Banks/Depts,2,1,1,1,2,1,0.803285526050584
No Account,6,Paid Up,Home Related,662,None,< 1yr,3,None,4,1,41,Other Banks/Depts,2,1,1,2,2,1,0.802389123253359
No Account,7,Paid Up,Home Related,2329,None,< 1yr,1,Yes,1,1,45,Other Banks/Depts,2,1,1,1,1,1,0.801350577769759
No Account,20,Paid Up,New car,6468,£100-£1000,< 1yr,1,None,4,1,60,Other Banks/Depts,2,1,1,1,2,1,0.798466931011924
No Account,12,Paid Up,New car,2028,£100-£1000,< 1yr,4,None,2,3,30,Other Banks/Depts,2,1,1,1,1,1,0.798325738751671
Some Balance,36,Paid Up,Home Related,5742,< £100,1-4 yrs,2,None,2,3,31,Other Banks/Depts,2,More than 1,1,1,2,1,0.796985283545657
Some Balance,24,Paid Up,Home Related,1533,None,< 1yr,4,None,3,3,38,Other Banks/Depts,2,1,1,1,2,1,0.796566326647013
No Account,12,Paid Up,Used car,2762,£100-£1000,4-7 yrs,1,None,2,2,25,Other Banks/Depts,2,1,1,1,2,1,0.796514123283498
No Account,8,No Problems (in this bank),Home Related,713,None,4-7 yrs,4,None,4,1,47,Other Banks/Depts,2,More than 1,1,1,1,1,0.794639241018363
Some Balance,18,No Problems (in this bank),Home Related,6070,None,4-7 yrs,3,None,4,3,33,Other Banks/Depts,2,More than 1,1,1,2,1,0.793289587775182
Some Balance,36,Paid Up,Home Related,7409,£100-£1000,4-7 yrs,3,None,2,2,37,Other Banks/Depts,2,More than 1,1,1,1,1,0.793284322107203
No Account,6,Paid Up,Home Related,753,None,< 1yr,2,Yes,3,1,64,Other Banks/Depts,2,1,1,1,1,1,0.792079060519703
No Account,6,Paid Up,Home Related,368,£100-£1000,4-7 yrs,4,None,4,2,38,Other Banks/Depts,2,1,1,1,1,1,0.791685752085744
No Account,24,Paid Up,New car,2924,None,< 1yr,3,Yes,4,4,63,Other Banks/Depts,2,1,1,2,2,1,0.790284237133755
Some Balance,24,Paid Up,Home Related,3181,None,< 1yr,4,None,4,2,26,Other Banks/Depts,2,1,1,1,2,1,0.790071079335847
Some Balance,6,Some Problems,Home Related,1204,< £100,< 1yr,4,None,1,4,35,Other Banks/Depts,1,1,1,1,1,2,0.788876156031757
Some Balance,18,Paid Up,Home Related,6761,£100-£1000,< 1yr,2,None,4,3,68,Other Banks/Depts,1,More than 1,1,1,1,1,0.787696941215491
No Account,6,No Problems (in this bank),Home Related,1957,None,1-4 yrs,1,None,4,3,31,Other Banks/Depts,2,1,1,1,1,1,0.78747214368491
No Account,12,No Problems (in this bank),Used car,3617,None,4-7 yrs,1,None,4,3,28,Other Banks/Depts,1,More than 1,1,1,2,1,0.787050982200365
Some Balance,18,Paid Up,Home Related,1943,None,< 1yr,4,None,4,1,23,Other Banks/Depts,2,1,1,1,1,1,0.784465104774722
No Account,6,No Problems (in this bank),Used car,1872,None,< 1yr,4,None,4,4,36,Other Banks/Depts,3,More than 1,1,1,2,1,0.7834247134063
Some Balance,36,Paid Up,Home Related,3919,None,< 1yr,2,None,2,1,23,Other Banks/Depts,2,1,1,1,2,1,0.78320060719136
No Account,12,No Problems (in this bank),Home Related,2366,£100-£1000,1-4 yrs,3,None,3,3,36,Other Banks/Depts,2,1,1,1,2,1,0.783027503310582
No Account,6,No Problems (in this bank),Home Related,338,£100-£1000,4-7 yrs,4,None,4,3,52,Other Banks/Depts,2,More than 1,1,1,1,1,0.781392309129906
No Account,6,No Problems (in this bank),Home Related,609,None,1-4 yrs,4,None,3,2,37,Other Banks/Depts,2,More than 1,1,1,1,1,0.781258893196784
No Account,12,Paid Up,Home Related,1680,£100-£1000,4-7 yrs,3,None,1,1,35,Other Banks/Depts,2,1,1,1,1,1,0.781019253131508
No Account,15,No Problems (in this bank),Home Related,2728,£100-£1000,1-4 yrs,4,Yes,2,1,35,Other Banks/Depts,2,More than 1,1,1,2,1,0.780192451306886
Some Balance,30,Some Problems,New car,7485,£100-£1000,< 1yr,4,None,1,1,53,Other Banks/Depts,2,1,1,1,2,1,0.779113796863145
No Account,15,No Problems (in this bank),Used car,3643,None,4-7 yrs,1,None,4,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,0.778875467934324
No Account,9,Paid Up,Home Related,2118,None,< 1yr,2,None,2,1,37,Other Banks/Depts,2,1,1,2,1,1,0.778103609247057
Some Balance,14,No Problems (in this bank),Home Related,802,None,< 1yr,4,None,2,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,0.777535280046379
No Account,6,Paid Up,Home Related,590,None,< 1yr,3,None,3,1,26,Other Banks/Depts,2,1,1,1,1,2,0.774997495429829
No Account,12,Paid Up,Used car,1657,None,< 1yr,2,None,2,1,27,Other Banks/Depts,2,1,1,1,1,1,0.771585299177839
No Account,9,Paid Up,Used car,918,None,< 1yr,4,None,1,2,30,Other Banks/Depts,2,1,1,1,1,1,0.767687875346278
Some Balance,27,Paid Up,Home Related,5190,£100-£1000,4-7 yrs,4,None,4,2,48,Other Banks/Depts,2,More than 1,1,2,2,1,0.767582772605404
Some Balance,18,Paid Up,Home Related,1505,None,< 1yr,4,None,2,4,32,Other Banks/Depts,3,1,1,1,2,1,0.766638975765619
Some Balance,15,Paid Up,Home Related,392,None,< 1yr,4,None,4,2,23,Other Banks/Depts,1,1,1,1,2,1,0.764972911411322
No Account,6,No Problems (in this bank),Home Related,860,None,4-7 yrs,1,None,4,4,39,Other Banks/Depts,2,More than 1,1,1,2,1,0.764468483596958
Some Balance,36,No Problems (in this bank),Used car,7127,None,< 1yr,2,None,4,2,23,Other Banks/Depts,1,More than 1,1,1,2,1,0.762468172782897
No Account,24,Paid Up,Used car,3069,< £100,4-7 yrs,4,None,4,4,30,Other Banks/Depts,3,1,1,1,1,1,0.760647783400432
No Account,24,Paid Up,Home Related,3512,< £100,1-4 yrs,2,None,3,3,38,Other Banks/Depts,2,More than 1,1,1,2,1,0.759780626398297
Some Balance,48,No Problems (in this bank),New car,11590,< £100,< 1yr,2,None,4,3,24,Other Banks/Depts,1,More than 1,1,1,1,1,0.759768654669557
No Account,12,Paid Up,Used car,3590,None,< 1yr,2,Yes,2,2,29,Other Banks/Depts,2,1,1,2,1,1,0.755833955009688
No Account,24,Paid Up,Used car,4057,None,1-4 yrs,3,None,3,3,43,Other Banks/Depts,2,1,1,1,2,1,0.75506186067201
No Account,11,No Problems (in this bank),Home Related,3905,None,< 1yr,2,None,2,1,36,Other Banks/Depts,1,More than 1,1,2,1,1,0.753469367637508
No Account,9,Paid Up,Home Related,790,£100-£1000,< 1yr,4,None,3,1,66,Other Banks/Depts,2,1,1,1,1,1,0.753104341679756
No Account,30,Paid Up,Used car,3622,£100-£1000,4-7 yrs,4,None,4,2,57,Other Banks/Depts,1,More than 1,1,1,2,1,0.75222177135762
No Account,24,Paid Up,Used car,3345,None,4-7 yrs,4,None,2,2,39,Other Banks/Depts,1,1,1,1,2,1,0.75047956935684
No Account,12,Paid Up,Used car,2578,None,< 1yr,3,None,4,4,55,Other Banks/Depts,3,1,1,1,1,1,0.74890791996578
No Account,12,Paid Up,Home Related,1155,None,4-7 yrs,3,Yes,3,1,40,Other Banks/Depts,2,More than 1,1,1,1,1,0.745131908702131
No Account,18,Paid Up,New car,2779,None,< 1yr,1,None,3,3,21,Other Banks/Depts,1,1,1,1,2,1,0.743590861937971
No Account,21,Paid Up,Home Related,3763,£100-£1000,1-4 yrs,2,Yes,2,1,24,Other Banks/Depts,2,1,1,1,1,2,0.737443463214497
Some Balance,36,Paid Up,Home Related,1819,None,< 1yr,4,None,4,4,37,Other Banks/Depts,3,1,1,1,2,1,0.735486874968764
No Account,9,No Problems (in this bank),Home Related,1136,£100-£1000,4-7 yrs,4,None,3,4,32,Other Banks/Depts,3,More than 1,1,2,1,1,0.7344372191463
No Account,24,Paid Up,Used car,2996,£100-£1000,< 1yr,2,None,4,3,20,Other Banks/Depts,2,1,1,1,1,1,0.733418796266314
No Account,24,No Problems (in this bank),Used car,2333,£100-£1000,< 1yr,4,None,2,2,29,Other Banks/Depts,2,1,1,1,1,1,0.733290613567509
No Account,36,Paid Up,Used car,2712,None,4-7 yrs,2,None,2,2,41,Other Banks/Depts,2,1,1,2,1,1,0.732969662235389
No Account,30,Paid Up,Used car,3108,None,< 1yr,2,None,4,2,31,Other Banks/Depts,2,1,1,1,1,1,0.730682770979699
No Account,12,No Problems (in this bank),Home Related,2122,None,< 1yr,3,None,2,1,39,Other Banks/Depts,1,More than 1,1,2,1,2,0.728012508020629
No Account,18,Paid Up,Home Related,1913,£100-£1000,< 1yr,3,None,3,1,36,Other Banks/Depts,2,1,1,1,2,1,0.72755152589147
No Account,30,Paid Up,New car,3857,None,< 1yr,4,None,4,2,40,Other Banks/Depts,2,1,1,1,2,1,0.726152949413896
No Account,12,Paid Up,Used car,951,< £100,< 1yr,4,None,4,3,27,Other Banks/Depts,1,More than 1,1,1,1,1,0.725476098489756
Some Balance,15,Some Problems,Home Related,1569,< £100,4-7 yrs,4,None,4,3,34,Other Banks/Depts,2,1,1,2,1,1,0.724962443124875
Some Balance,48,No Problems (in this bank),Home Related,7629,£100-£1000,4-7 yrs,4,None,2,3,46,Other Banks/Depts,2,More than 1,1,2,1,1,0.723947189366974
Some Balance,30,No Problems (in this bank),Home Related,4530,None,1-4 yrs,4,None,4,3,26,Other Banks/Depts,1,1,1,1,2,1,0.721962043966348
No Account,10,Paid Up,Used car,1521,None,< 1yr,4,None,2,3,31,Other Banks/Depts,2,1,1,1,1,1,0.721832136683725
No Account,18,No Problems (in this bank),Home Related,1056,None,4-7 yrs,3,Yes,3,1,30,Other Banks/Depts,2,More than 1,1,1,1,1,0.719889290755436
No Account,12,Paid Up,Home Related,3651,£100-£1000,< 1yr,1,None,3,2,31,Other Banks/Depts,2,1,1,2,1,1,0.719687281144892
Some Balance,12,Some Problems,Home Related,609,None,< 1yr,4,None,1,1,26,Other Banks/Depts,2,1,1,1,1,1,0.717365823959074
No Account,30,Paid Up,Used car,2406,None,1-4 yrs,4,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1,0.715148995071943
No Account,12,Paid Up,Used car,1922,None,< 1yr,4,None,2,2,37,Other Banks/Depts,2,1,1,1,1,1,0.714489504509775
No Account,12,No Problems (in this bank),Home Related,3499,None,< 1yr,3,Yes,2,1,29,Other Banks/Depts,2,More than 1,1,1,1,1,0.71367980938038
Some Balance,18,Some Problems,Home Related,1445,£100-£1000,1-4 yrs,4,None,4,3,49,Other Banks/Depts,2,1,1,1,1,1,0.713466821625001
No Account,30,Paid Up,Used car,3441,< £100,< 1yr,2,Yes,4,3,21,Other Banks/Depts,1,1,1,1,1,1,0.711050232142484
No Account,15,No Problems (in this bank),Home Related,1537,£100-£1000,4-7 yrs,4,Yes,4,1,50,Other Banks/Depts,2,More than 1,1,1,2,1,0.71002759942962
No Account,18,No Problems (in this bank),Home Related,3966,None,4-7 yrs,1,None,4,1,33,Other Banks/Depts,1,More than 1,1,1,2,1,0.709578497034731
No Account,15,No Problems (in this bank),Used car,1478,None,4-7 yrs,4,None,4,3,44,Other Banks/Depts,2,More than 1,1,2,2,1,0.709160608656308
No Account,18,Paid Up,Used car,2659,£100-£1000,< 1yr,4,None,2,3,28,Other Banks/Depts,2,1,1,1,1,1,0.70649157968382
No Account,12,Paid Up,Home Related,709,None,4-7 yrs,4,None,4,1,57,Other Banks/Depts,2,1,1,1,1,1,0.705287324087654
Some Balance,36,No Problems (in this bank),Home Related,6614,None,4-7 yrs,4,None,4,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,0.70419985942133
No Account,9,Paid Up,Home Related,1082,None,4-7 yrs,4,None,4,3,37,Other Banks/Depts,2,More than 1,1,1,1,1,0.702589774241623
No Account,15,Paid Up,Home Related,2631,< £100,< 1yr,3,None,2,1,25,Other Banks/Depts,2,1,1,1,1,1,0.698917136894322
No Account,10,No Problems (in this bank),Home Related,1038,None,1-4 yrs,4,Yes,3,2,49,Other Banks/Depts,2,More than 1,1,1,2,1,0.697319644693186
Some Balance,24,Paid Up,Home Related,5152,None,1-4 yrs,4,None,2,3,25,Other Banks/Depts,2,1,1,1,1,1,0.697002972705518
No Account,24,Paid Up,Used car,3234,None,< 1yr,4,None,4,1,23,Other Banks/Depts,1,1,1,1,2,1,0.694628956531251
No Account,15,Paid Up,Home Related,1721,None,< 1yr,2,None,3,1,36,Other Banks/Depts,2,1,1,1,1,1,0.691067191554093
No Account,18,Paid Up,Used car,4153,None,< 1yr,2,Yes,3,3,42,Other Banks/Depts,2,1,1,1,1,1,0.689768780579353
No Account,12,Paid Up,Home Related,1372,None,1-4 yrs,2,None,3,3,36,Other Banks/Depts,2,1,1,1,1,1,0.688609436666336
No Account,9,Paid Up,Home Related,1206,None,4-7 yrs,4,None,4,1,25,Other Banks/Depts,2,1,1,1,1,1,0.687914009459028
Some Balance,24,Some Problems,Home Related,1559,None,1-4 yrs,4,None,4,3,40,Other Banks/Depts,2,1,1,1,2,1,0.687060934920343
Some Balance,60,Paid Up,Home Related,10144,< £100,1-4 yrs,2,None,4,1,21,Other Banks/Depts,2,1,1,1,2,1,0.683635204756267
Some Balance,30,No Problems (in this bank),Home Related,5771,None,1-4 yrs,4,None,2,3,25,Other Banks/Depts,2,More than 1,1,1,1,1,0.683253023012892
