Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age.years,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Credit_Application_Result
No Account,6,No Problems (in this bank),Home Related,1209,None,< 1yr,4,None,4,2,47,Other Banks/Depts,2,1,1,1,2,1,0.682592492079476
No Account,18,Paid Up,Used car,1131,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,1,1,0.682356263175208
No Account,18,No Problems (in this bank),Used car,2124,None,< 1yr,4,None,4,1,24,Other Banks/Depts,1,More than 1,1,1,1,1,0.682333517160208
No Account,36,Paid Up,Used car,3446,None,4-7 yrs,4,None,2,3,42,Other Banks/Depts,2,1,1,2,1,1,0.679202313232728
No Account,21,No Problems (in this bank),Home Related,3652,None,1-4 yrs,2,None,3,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,0.67706627615122
No Account,12,No Problems (in this bank),Home Related,691,None,4-7 yrs,4,None,3,2,35,Other Banks/Depts,2,More than 1,1,1,1,1,0.675331411529802
No Account,12,Paid Up,Home Related,2579,None,< 1yr,4,None,1,1,33,Other Banks/Depts,2,1,1,2,1,1,0.675174426267135
No Account,9,Paid Up,Home Related,458,None,< 1yr,4,None,3,1,24,Other Banks/Depts,2,1,1,1,1,1,0.675033577513819
No Account,18,Paid Up,Used car,2462,None,< 1yr,2,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1,0.673479581713376
No Account,24,Paid Up,Home Related,2303,None,4-7 yrs,4,Yes,1,1,45,Other Banks/Depts,2,1,1,1,1,1,0.671787351445012
No Account,18,No Problems (in this bank),Home Related,2427,£100-£1000,4-7 yrs,4,None,2,2,42,Other Banks/Depts,2,More than 1,1,1,1,1,0.670449348446037
No Account,15,Paid Up,Used car,1845,None,< 1yr,4,Yes,1,2,46,Other Banks/Depts,1,1,1,1,1,1,0.669477826723789
No Account,24,No Problems (in this bank),New car,7758,£100-£1000,4-7 yrs,2,None,4,4,29,Other Banks/Depts,1,1,1,1,1,1,0.666093969403244
Some Balance,18,Some Problems,Home Related,4165,None,< 1yr,2,None,2,3,36,Other Banks/Depts,2,More than 1,1,2,1,1,0.664476263483981
Some Balance,54,Some Problems,New car,9436,£100-£1000,< 1yr,2,None,2,2,39,Other Banks/Depts,2,1,1,2,1,1,0.664003492535953
No Account,12,Paid Up,Used car,1282,None,< 1yr,2,None,4,3,20,Other Banks/Depts,1,1,1,1,1,1,0.659022869664575
Some Balance,24,No Problems (in this bank),Home Related,6314,None,< 1yr,4,Yes,2,4,27,Other Banks/Depts,2,More than 1,1,1,2,1,0.65878865557509
No Account,36,No Problems (in this bank),New car,5800,None,< 1yr,3,None,4,3,34,Other Banks/Depts,2,More than 1,1,1,2,1,0.657655495451098
No Account,21,Paid Up,Home Related,2767,< £100,4-7 yrs,4,None,2,3,61,Other Banks/Depts,1,More than 1,1,1,1,1,0.657624783798062
Some Balance,48,No Problems (in this bank),Home Related,12749,£100-£1000,1-4 yrs,4,None,1,3,37,Other Banks/Depts,2,1,1,1,2,1,0.657188458516918
No Account,12,Paid Up,Home Related,685,None,1-4 yrs,2,None,3,3,25,Other Banks/Depts,2,1,1,1,1,1,0.656842155651508
No Account,36,No Problems (in this bank),Home Related,2337,None,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1,0.652458994919084
No Account,36,Paid Up,New car,5493,None,4-7 yrs,2,None,4,4,42,Other Banks/Depts,3,1,1,2,1,1,0.652357801610353
No Account,30,No Problems (in this bank),Home Related,2503,< £100,4-7 yrs,4,None,2,2,41,Other Banks/Depts,2,More than 1,1,1,1,1,0.651891073303218
No Account,12,Paid Up,Home Related,1092,None,< 1yr,4,Yes,4,1,49,Other Banks/Depts,2,More than 1,1,1,2,1,0.648852889442232
No Account,18,No Problems (in this bank),Used car,6361,None,4-7 yrs,2,None,1,4,41,Other Banks/Depts,2,1,1,1,2,1,0.646648492583562
No Account,21,No Problems (in this bank),Home Related,2353,None,< 1yr,1,None,4,2,47,Other Banks/Depts,2,More than 1,1,1,1,1,0.645783389741929
No Account,11,No Problems (in this bank),Home Related,4771,None,1-4 yrs,2,None,4,2,51,Other Banks/Depts,2,1,1,1,1,1,0.643985575647701
No Account,24,Paid Up,Home Related,1755,None,4-7 yrs,4,Yes,4,1,58,Other Banks/Depts,2,1,1,1,2,1,0.640722430142227
No Account,24,No Problems (in this bank),Home Related,1024,None,< 1yr,4,None,4,1,48,Other Banks/Depts,2,1,1,1,1,1,0.640445654959969
Some Balance,48,Paid Up,Home Related,10222,£100-£1000,1-4 yrs,4,None,3,3,37,Other Banks/Depts,2,1,1,1,2,1,0.640254154494201
No Account,18,Paid Up,Home Related,3509,None,1-4 yrs,4,Yes,1,1,25,Other Banks/Depts,2,1,1,1,1,1,0.63995536832609
Some Balance,36,No Problems (in this bank),Home Related,4463,None,< 1yr,4,None,2,3,26,Other Banks/Depts,2,More than 1,1,1,2,1,0.639844643111942
No Account,48,No Problems (in this bank),New car,6331,None,4-7 yrs,4,None,4,4,46,Other Banks/Depts,3,More than 1,1,1,2,1,0.638431769921387
No Account,9,Paid Up,Home Related,654,None,< 1yr,4,None,3,3,28,Other Banks/Depts,2,1,1,1,1,1,0.636939094021156
No Account,24,No Problems (in this bank),Home Related,3878,< £100,< 1yr,4,None,2,3,37,Other Banks/Depts,2,1,1,1,2,1,0.635943748813836
No Account,18,No Problems (in this bank),Home Related,1887,£100-£1000,< 1yr,4,None,4,1,28,Other Banks/Depts,2,More than 1,1,1,1,1,0.63580063727892
No Account,12,No Problems (in this bank),Home Related,1344,None,< 1yr,4,None,2,1,43,Other Banks/Depts,2,More than 1,1,2,1,1,0.63544053481806
No Account,36,Paid Up,Home Related,3249,None,1-4 yrs,2,None,4,4,39,Other Banks/Depts,3,1,1,2,2,1,0.635145995721073
No Account,18,Paid Up,Home Related,3190,None,< 1yr,2,None,2,1,24,Other Banks/Depts,2,1,1,1,1,1,0.633124369111489
No Account,20,No Problems (in this bank),Used car,4272,None,4-7 yrs,1,None,4,2,24,Other Banks/Depts,2,More than 1,1,1,1,1,0.632939439553591
No Account,12,Paid Up,Home Related,1007,£100-£1000,< 1yr,4,None,1,1,22,Other Banks/Depts,2,1,1,1,1,1,0.632471390358157
No Account,6,Some Problems,Home Related,931,< £100,< 1yr,1,None,1,2,32,Other Banks/Depts,2,1,1,1,1,1,0.631779298990837
No Account,12,Paid Up,Home Related,727,< £100,< 1yr,4,None,3,4,33,Other Banks/Depts,2,1,1,1,2,1,0.631695118587349
No Account,18,No Problems (in this bank),Used car,1295,None,< 1yr,4,None,1,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,0.630788896754727
No Account,6,Paid Up,Home Related,448,None,< 1yr,4,None,4,2,23,Other Banks/Depts,2,1,1,1,1,1,0.628596325044534
No Account,16,No Problems (in this bank),Home Related,1175,None,< 1yr,2,None,3,3,68,Other Banks/Depts,3,More than 1,1,1,2,1,0.626278399773848
No Account,18,Paid Up,Used car,2473,None,< 1yr,4,None,1,3,25,Other Banks/Depts,2,1,1,1,1,1,0.626116061581245
No Account,9,Paid Up,Home Related,1422,None,< 1yr,3,None,2,4,27,Other Banks/Depts,3,1,1,1,2,1,0.625970515645748
No Account,30,Paid Up,Used car,6350,£100-£1000,4-7 yrs,4,None,4,2,31,Other Banks/Depts,2,1,1,1,1,1,0.624336805315424
No Account,18,No Problems (in this bank),Home Related,1880,None,1-4 yrs,4,None,1,2,32,Other Banks/Depts,2,More than 1,1,1,2,1,0.618130297577821
No Account,12,Paid Up,Home Related,1534,None,< 1yr,1,None,1,1,23,Other Banks/Depts,1,1,1,1,1,1,0.617424541337665
No Account,18,Paid Up,Home Related,1042,£100-£1000,< 1yr,4,None,2,2,33,Other Banks/Depts,2,1,1,1,1,1,0.616460330014702
No Account,24,Paid Up,Home Related,1285,£100-£1000,1-4 yrs,4,None,4,4,32,Other Banks/Depts,1,1,1,1,1,1,0.616115720448825
No Account,15,No Problems (in this bank),Used car,1433,None,< 1yr,4,None,3,2,25,Other Banks/Depts,1,More than 1,1,1,1,1,0.615678346473869
No Account,12,Paid Up,Home Related,1168,None,< 1yr,4,None,3,1,27,Other Banks/Depts,2,1,1,1,1,1,0.615641425987922
No Account,18,Paid Up,Home Related,1941,£100-£1000,< 1yr,4,None,2,2,35,Other Banks/Depts,2,1,1,1,2,1,0.614877856009588
Some Balance,48,No Problems (in this bank),Home Related,10127,£100-£1000,< 1yr,2,None,2,4,44,Other Banks/Depts,3,1,1,1,1,1,0.614771761570807
No Account,21,No Problems (in this bank),Home Related,3414,None,< 1yr,2,None,1,2,26,Other Banks/Depts,2,More than 1,1,1,1,1,0.613648244515369
No Account,48,Paid Up,Home Related,6999,None,1-4 yrs,1,Yes,1,1,34,Other Banks/Depts,2,More than 1,1,1,2,1,0.610147574489106
No Account,48,Paid Up,Home Related,3979,£100-£1000,1-4 yrs,4,None,1,3,41,Other Banks/Depts,2,More than 1,1,2,2,1,0.609583115363895
No Account,24,Paid Up,Home Related,915,£100-£1000,4-7 yrs,4,None,2,3,29,Other Banks/Depts,2,1,1,1,1,1,0.609074478085657
No Account,12,Paid Up,Home Related,684,None,< 1yr,4,None,4,3,40,Other Banks/Depts,1,1,1,2,1,1,0.60844453162279
No Account,24,No Problems (in this bank),Home Related,1333,None,< 1yr,4,None,2,1,43,Other Banks/Depts,3,More than 1,1,2,1,1,0.607708391379145
Some Balance,60,Paid Up,Home Related,10366,None,4-7 yrs,2,None,4,2,42,Other Banks/Depts,2,1,1,1,2,1,0.606605308795991
No Account,24,Paid Up,Used car,3149,None,< 1yr,4,None,1,4,22,Other Banks/Depts,3,1,1,1,1,1,0.604856572195448
Some Balance,21,Some Problems,Home Related,5003,£100-£1000,< 1yr,1,None,4,2,29,Other Banks/Depts,2,More than 1,1,1,2,1,0.604721140400498
No Account,20,No Problems (in this bank),Home Related,2629,None,< 1yr,2,None,3,3,29,Other Banks/Depts,2,More than 1,1,1,2,1,0.604510404897434
No Account,18,No Problems (in this bank),Home Related,884,None,4-7 yrs,4,None,4,3,36,Other Banks/Depts,2,1,1,2,2,1,0.604481653249522
No Account,24,Paid Up,Used car,4169,None,< 1yr,4,None,4,2,28,Other Banks/Depts,2,1,1,1,1,1,0.604160918293492
No Account,9,Paid Up,Home Related,1366,None,< 1yr,3,None,4,2,22,Other Banks/Depts,1,1,1,1,1,1,0.603464338524655
No Account,48,Paid Up,Home Related,3051,None,< 1yr,3,None,4,3,54,Other Banks/Depts,2,1,1,1,1,1,0.603220088804657
No Account,27,No Problems (in this bank),Home Related,2442,None,4-7 yrs,4,None,4,3,43,Other Banks/Depts,2,More than 1,1,2,2,1,0.602691616408317
Some Balance,18,Some Problems,Home Related,6458,None,4-7 yrs,2,None,4,4,39,Other Banks/Depts,2,More than 1,1,2,2,1,0.602474226149462
No Account,24,Paid Up,Home Related,1381,£100-£1000,< 1yr,4,None,2,2,35,Other Banks/Depts,2,1,1,1,1,1,0.600607116293772
No Account,24,Paid Up,Used car,7721,£100-£1000,< 1yr,1,None,2,2,30,Other Banks/Depts,2,1,1,1,2,2,0.599744555247459
No Account,15,Paid Up,Home Related,802,None,4-7 yrs,4,None,3,3,37,Other Banks/Depts,2,1,1,2,1,1,0.598824613072432
No Account,15,Paid Up,Home Related,1053,None,< 1yr,4,None,2,1,27,Other Banks/Depts,2,1,1,1,1,2,0.598541381392899
No Account,24,Paid Up,Home Related,3660,None,< 1yr,2,None,4,3,28,Other Banks/Depts,2,1,1,1,1,1,0.596755053462763
No Account,20,Some Problems,New car,6148,< £100,4-7 yrs,3,None,4,3,31,Other Banks/Depts,2,More than 1,1,1,2,1,0.59503973424397
No Account,24,Paid Up,Home Related,1987,None,< 1yr,2,None,4,1,21,Other Banks/Depts,1,1,1,2,1,1,0.594898498691465
No Account,18,Paid Up,Home Related,3872,None,< 1yr,2,None,4,3,67,Other Banks/Depts,2,1,1,1,2,1,0.594856482426736
No Account,24,No Problems (in this bank),Home Related,1199,None,4-7 yrs,4,None,4,3,60,Other Banks/Depts,2,More than 1,1,1,1,1,0.594565949128638
No Account,15,Paid Up,Home Related,1514,< £100,< 1yr,4,Yes,2,1,22,Other Banks/Depts,2,1,1,1,1,1,0.593778923370629
No Account,36,Paid Up,Used car,3959,None,< 1yr,4,None,3,2,30,Other Banks/Depts,2,1,1,1,2,1,0.593378500335258
No Account,18,No Problems (in this bank),Home Related,1190,None,< 1yr,2,None,4,4,55,Other Banks/Depts,3,More than 1,1,2,1,1,0.592475917715801
No Account,24,No Problems (in this bank),Home Related,1216,< £100,< 1yr,4,None,4,4,38,Other Banks/Depts,2,More than 1,1,2,1,1,0.592420933472878
No Account,21,Paid Up,Home Related,1835,None,< 1yr,3,None,2,1,25,Other Banks/Depts,2,More than 1,1,1,2,1,0.591733744811793
No Account,12,Paid Up,Home Related,6078,None,1-4 yrs,2,None,2,3,32,Other Banks/Depts,2,1,1,1,1,1,0.589142296776001
Some Balance,36,Paid Up,Home Related,9055,£100-£1000,< 1yr,2,None,4,4,35,Other Banks/Depts,3,1,1,2,2,1,0.588579468839262
No Account,13,No Problems (in this bank),Home Related,1797,None,< 1yr,3,None,1,2,28,Other Banks/Depts,2,More than 1,1,1,1,1,0.587415778684829
No Account,24,Paid Up,Home Related,1282,< £100,< 1yr,4,None,2,3,32,Other Banks/Depts,2,1,1,1,1,1,0.586967553229627
No Account,18,Paid Up,Home Related,750,None,< 1yr,4,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1,0.586143574913808
No Account,24,Paid Up,New car,6579,None,< 1yr,4,None,2,4,29,Other Banks/Depts,3,1,1,1,2,1,0.585276814944246
No Account,27,Paid Up,Home Related,3416,None,< 1yr,3,None,2,3,27,Other Banks/Depts,2,1,1,1,1,1,0.582182725506425
No Account,24,Paid Up,Home Related,3758,£100-£1000,< 1yr,1,None,4,4,23,Other Banks/Depts,1,1,1,1,1,1,0.582142752010363
No Account,18,Some Problems,Used car,3244,None,< 1yr,1,None,4,3,33,Other Banks/Depts,2,More than 1,1,1,2,1,0.58117453967171
Some Balance,36,No Problems (in this bank),Home Related,10875,None,4-7 yrs,2,None,2,3,45,Other Banks/Depts,2,More than 1,1,2,2,1,0.580295793341507
No Account,18,Paid Up,Home Related,1113,None,< 1yr,4,Yes,4,1,26,Other Banks/Depts,2,1,1,2,1,1,0.579340889563428
No Account,24,Paid Up,Home Related,5084,£100-£1000,4-7 yrs,2,None,4,3,42,Other Banks/Depts,2,1,1,1,2,1,0.57854420472303
No Account,18,Paid Up,Home Related,6260,None,1-4 yrs,3,None,3,1,28,Other Banks/Depts,1,1,1,1,1,1,0.578399129013694
No Account,18,No Problems (in this bank),Home Related,6204,None,< 1yr,2,None,4,1,44,Other Banks/Depts,2,1,1,2,2,1,0.574596197634425
No Account,36,Paid Up,New car,8335,£100-£1000,4-7 yrs,3,None,4,4,47,Other Banks/Depts,3,1,1,1,1,1,0.571920961802876
No Account,21,No Problems (in this bank),Home Related,1602,None,4-7 yrs,4,None,3,3,30,Other Banks/Depts,2,More than 1,1,1,2,1,0.571582738398454
No Account,12,Paid Up,Home Related,741,< £100,< 1yr,4,None,3,2,22,Other Banks/Depts,2,1,1,1,1,1,0.571046487194902
No Account,12,No Problems (in this bank),Home Related,4843,None,4-7 yrs,3,Yes,4,2,43,Other Banks/Depts,1,More than 1,1,1,2,1,0.568252780612153
No Account,27,Paid Up,Home Related,2528,None,< 1yr,4,None,1,2,32,Other Banks/Depts,2,1,1,2,2,1,0.563986245387192
No Account,12,Paid Up,Home Related,795,None,< 1yr,4,None,4,2,53,Other Banks/Depts,2,1,1,1,1,1,0.56329081324944
Some Balance,60,No Problems (in this bank),Home Related,15653,None,1-4 yrs,2,None,4,3,21,Other Banks/Depts,2,More than 1,1,1,2,1,0.562140554645334
No Account,24,Paid Up,Home Related,1603,None,4-7 yrs,4,None,4,3,55,Other Banks/Depts,2,1,1,1,1,1,0.562076207385482
No Account,15,Paid Up,Home Related,3959,None,< 1yr,3,None,2,2,29,Other Banks/Depts,2,1,1,1,2,1,0.561610358968136
No Account,13,No Problems (in this bank),Home Related,882,None,< 1yr,4,Yes,4,1,23,Other Banks/Depts,2,More than 1,1,1,1,1,0.561237912939872
No Account,36,Paid Up,Home Related,1977,£100-£1000,4-7 yrs,4,None,4,4,40,Other Banks/Depts,2,1,1,1,2,1,0.559728795490901
Some Balance,36,Paid Up,Used car,10974,None,< 1yr,4,None,2,3,26,Other Banks/Depts,2,More than 1,1,1,2,1,0.55818754479359
No Account,12,Paid Up,Home Related,836,< £100,< 1yr,4,None,2,2,23,Other Banks/Depts,2,1,1,1,1,1,0.555593276050042
No Account,24,Some Problems,Used car,2483,£100-£1000,< 1yr,4,None,4,1,22,Other Banks/Depts,2,1,1,1,2,1,0.555069365763231
No Account,15,Paid Up,Home Related,1403,None,< 1yr,2,None,4,3,28,Other Banks/Depts,1,1,1,1,1,1,0.551114205743032
No Account,24,Paid Up,Home Related,1938,None,< 1yr,4,None,3,2,32,Other Banks/Depts,2,1,1,1,1,1,0.549244708355208
No Account,24,Paid Up,Home Related,2718,None,< 1yr,3,None,4,2,20,Other Banks/Depts,1,1,1,1,2,1,0.546386214981837
No Account,18,Paid Up,Home Related,1239,£100-£1000,< 1yr,4,None,4,4,61,Other Banks/Depts,3,1,1,1,1,1,0.54637991889721
No Account,30,Some Problems,Used car,3496,£100-£1000,< 1yr,4,None,2,3,34,Other Banks/Depts,2,1,1,2,2,1,0.545443828176727
No Account,13,Paid Up,Home Related,2101,None,< 1yr,2,Yes,4,2,23,Other Banks/Depts,2,1,1,1,1,1,0.54381630321701
No Account,12,Paid Up,Home Related,1567,None,< 1yr,1,None,1,3,22,Other Banks/Depts,2,1,1,1,2,1,0.542952797679241
No Account,36,No Problems (in this bank),Used car,5371,None,< 1yr,3,Yes,2,2,28,Other Banks/Depts,2,More than 1,1,1,1,1,0.540402921380003
No Account,24,Paid Up,Home Related,3123,None,< 1yr,4,None,1,2,27,Other Banks/Depts,2,1,1,1,1,1,0.53899162100297
No Account,30,No Problems (in this bank),Used car,8386,None,1-4 yrs,2,None,2,2,49,Other Banks/Depts,2,1,1,1,1,1,0.538517563261582
No Account,42,Paid Up,Used car,7882,None,1-4 yrs,2,Yes,4,2,45,Other Banks/Depts,3,1,1,2,1,1,0.537371258379433
No Account,18,No Problems (in this bank),Home Related,1245,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,1,1,0.536983361141319
No Account,18,Some Problems,Used car,3114,None,< 1yr,1,None,4,2,26,Other Banks/Depts,1,1,1,1,1,1,0.536441575802893
No Account,18,Paid Up,Home Related,5866,< £100,< 1yr,2,None,2,3,30,Other Banks/Depts,2,More than 1,1,1,2,1,0.535744231957999
No Account,27,Paid Up,Home Related,3915,None,< 1yr,4,None,2,3,36,Other Banks/Depts,2,1,1,2,2,1,0.535554894479091
No Account,12,Paid Up,Home Related,1295,None,< 1yr,3,None,1,3,25,Other Banks/Depts,1,1,1,1,1,1,0.534139444151598
No Account,18,Paid Up,Home Related,2600,None,< 1yr,4,None,4,4,65,Other Banks/Depts,3,More than 1,1,1,1,1,0.533907296316362
No Account,42,No Problems (in this bank),Home Related,3394,None,< 1yr,4,Yes,4,3,65,Other Banks/Depts,2,More than 1,1,1,1,1,0.532162174771663
No Account,18,No Problems (in this bank),Home Related,5302,None,4-7 yrs,2,None,4,4,36,Other Banks/Depts,3,More than 1,1,1,2,1,0.531956238045569
Some Balance,42,Some Problems,Home Related,6289,None,< 1yr,2,None,1,2,33,Other Banks/Depts,2,More than 1,1,1,1,1,0.531351143813557
No Account,18,Paid Up,Home Related,976,None,< 1yr,1,None,2,3,23,Other Banks/Depts,2,1,1,1,1,1,0.530910757802419
No Account,24,Paid Up,Home Related,2039,None,< 1yr,1,None,1,2,22,Other Banks/Depts,2,1,1,1,2,1,0.529944968344915
No Account,21,Paid Up,Home Related,2606,None,< 1yr,4,None,4,2,28,Other Banks/Depts,1,1,1,1,2,1,0.524217569239999
No Account,39,No Problems (in this bank),Home Related,4933,None,1-4 yrs,2,Yes,2,1,25,Other Banks/Depts,2,More than 1,1,1,1,1,0.520349255973701
No Account,18,Paid Up,Home Related,2389,None,< 1yr,4,None,1,3,27,Other Banks/Depts,2,1,1,1,1,1,0.519483995671076
No Account,24,Paid Up,Home Related,1823,None,< 1yr,4,None,2,3,30,Other Banks/Depts,2,1,1,2,1,1,0.518646877805436
No Account,24,No Problems (in this bank),Home Related,4712,£100-£1000,< 1yr,4,None,2,2,34,Other Banks/Depts,2,More than 1,1,1,2,1,0.518003407695885
No Account,48,Paid Up,Home Related,6560,< £100,1-4 yrs,3,None,2,2,24,Other Banks/Depts,2,1,1,1,1,1,0.517470549790528
No Account,6,Some Problems,Home Related,1198,None,4-7 yrs,4,None,4,4,35,Other Banks/Depts,3,1,1,1,1,1,0.513427315564692
No Account,15,Paid Up,Home Related,1444,£100-£1000,< 1yr,4,None,1,2,23,Other Banks/Depts,2,1,1,1,1,1,0.509680216328044
No Account,30,Paid Up,Home Related,1715,£100-£1000,< 1yr,4,None,1,3,26,Other Banks/Depts,2,1,1,1,1,1,0.509588252388879
No Account,18,Paid Up,New car,12976,None,< 1yr,3,None,4,4,38,Other Banks/Depts,3,1,1,1,2,1,0.508848457061006
No Account,24,No Problems (in this bank),Home Related,1659,None,< 1yr,4,None,2,3,29,Other Banks/Depts,1,1,1,1,2,1,0.506537660818452
No Account,15,Paid Up,Home Related,1275,£100-£1000,< 1yr,4,None,2,3,24,Other Banks/Depts,1,1,1,1,1,1,0.502041341150494
No Account,12,Paid Up,Home Related,2214,None,< 1yr,4,None,3,2,24,Other Banks/Depts,2,1,1,1,1,1,0.501988553620722
No Account,48,Paid Up,Home Related,5381,£100-£1000,< 1yr,3,None,4,4,40,Other Banks/Depts,3,1,1,1,2,1,0.501584225570687
